Material,Plant,Storage Location,Movement Type,Posting Date,Qty in unit of entry,Amount in Local Currency,Material Document,Cost Center,User Name
UAT-0004,P100,0002,201,2025-08-10,-26,-494,4900000093,CC-P100,UAT.PLANNER1
UAT-0004,P100,0002,201,2025-09-10,-26,-494,4900000094,CC-P100,UAT.PLANNER1
UAT-0004,P100,0002,101,2025-09-03,31,589,4900000095,,UAT.STORES1
UAT-0004,P100,0002,201,2025-10-10,-26,-494,4900000096,CC-P100,UAT.PLANNER1
UAT-0004,P100,0002,201,2025-11-10,-26,-494,4900000097,CC-P100,UAT.PLANNER1
UAT-0004,P100,0002,101,2025-11-03,31,589,4900000098,,UAT.STORES1
UAT-0004,P100,0002,201,2025-12-10,-26,-494,4900000099,CC-P100,UAT.PLANNER1
UAT-0004,P100,0002,201,2026-01-10,-26,-494,4900000100,CC-P100,UAT.PLANNER1
UAT-0004,P100,0002,101,2026-01-03,31,589,4900000101,,UAT.STORES1
UAT-0004,P100,0002,201,2026-02-10,-26,-494,4900000102,CC-P100,UAT.PLANNER1
UAT-0004,P100,0002,201,2026-03-10,-26,-494,4900000103,CC-P100,UAT.PLANNER1
UAT-0004,P100,0002,101,2026-03-03,31,589,4900000104,,UAT.STORES1
UAT-0004,P100,0002,201,2026-04-10,-26,-494,4900000105,CC-P100,UAT.PLANNER1
UAT-0004,P100,0002,201,2026-05-10,-26,-494,4900000106,CC-P100,UAT.PLANNER1
UAT-0004,P100,0002,101,2026-05-03,31,589,4900000107,,UAT.STORES1
UAT-0004,P100,0002,201,2026-06-10,-26,-494,4900000108,CC-P100,UAT.PLANNER1
UAT-0005,P100,0003,201,2025-01-10,-10,-225,4900000109,CC-P100,UAT.PLANNER1
UAT-0005,P100,0003,101,2025-01-03,15,337.5,4900000110,,UAT.STORES1
UAT-0005,P100,0003,201,2025-02-10,-10,-225,4900000111,CC-P100,UAT.PLANNER1
UAT-0005,P100,0003,201,2025-03-10,-10,-225,4900000112,CC-P100,UAT.PLANNER1
UAT-0005,P100,0003,101,2025-03-03,15,337.5,4900000113,,UAT.STORES1
UAT-0005,P100,0003,201,2025-04-10,-10,-225,4900000114,CC-P100,UAT.PLANNER1
UAT-0005,P100,0003,201,2025-05-10,-10,-225,4900000115,CC-P100,UAT.PLANNER1
UAT-0005,P100,0003,101,2025-05-03,15,337.5,4900000116,,UAT.STORES1
UAT-0005,P100,0003,201,2025-06-10,-10,-225,4900000117,CC-P100,UAT.PLANNER1
UAT-0005,P100,0003,201,2025-07-10,-10,-225,4900000118,CC-P100,UAT.PLANNER1
UAT-0005,P100,0003,101,2025-07-03,15,337.5,4900000119,,UAT.STORES1
UAT-0005,P100,0003,201,2025-08-10,-10,-225,4900000120,CC-P100,UAT.PLANNER1
UAT-0005,P100,0003,201,2025-09-10,-10,-225,4900000121,CC-P100,UAT.PLANNER1
UAT-0005,P100,0003,101,2025-09-03,15,337.5,4900000122,,UAT.STORES1
UAT-0005,P100,0003,201,2025-10-10,-10,-225,4900000123,CC-P100,UAT.PLANNER1
UAT-0005,P100,0003,201,2025-11-10,-10,-225,4900000124,CC-P100,UAT.PLANNER1
UAT-0005,P100,0003,101,2025-11-03,15,337.5,4900000125,,UAT.STORES1
UAT-0005,P100,0003,201,2025-12-10,-10,-225,4900000126,CC-P100,UAT.PLANNER1
UAT-0005,P100,0003,201,2026-01-10,-10,-225,4900000127,CC-P100,UAT.PLANNER1
UAT-0005,P100,0003,101,2026-01-03,15,337.5,4900000128,,UAT.STORES1
UAT-0005,P100,0003,201,2026-02-10,-10,-225,4900000129,CC-P100,UAT.PLANNER1
UAT-0005,P100,0003,201,2026-03-10,-10,-225,4900000130,CC-P100,UAT.PLANNER1
UAT-0005,P100,0003,101,2026-03-03,15,337.5,4900000131,,UAT.STORES1
UAT-0005,P100,0003,201,2026-04-10,-10,-225,4900000132,CC-P100,UAT.PLANNER1
UAT-0005,P100,0003,201,2026-05-10,-10,-225,4900000133,CC-P100,UAT.PLANNER1
UAT-0005,P100,0003,101,2026-05-03,15,337.5,4900000134,,UAT.STORES1
UAT-0005,P100,0003,201,2026-06-10,-10,-225,4900000135,CC-P100,UAT.PLANNER1
UAT-0006,P100,0001,201,2025-01-10,-14,-364,4900000136,CC-P100,UAT.PLANNER1
UAT-0006,P100,0001,101,2025-01-03,19,494,4900000137,,UAT.STORES1
UAT-0006,P100,0001,201,2025-02-10,-14,-364,4900000138,CC-P100,UAT.PLANNER1
UAT-0006,P100,0001,201,2025-03-10,-14,-364,4900000139,CC-P100,UAT.PLANNER1
UAT-0006,P100,0001,101,2025-03-03,19,494,4900000140,,UAT.STORES1
UAT-0006,P100,0001,201,2025-04-10,-14,-364,4900000141,CC-P100,UAT.PLANNER1
UAT-0006,P100,0001,201,2025-05-10,-14,-364,4900000142,CC-P100,UAT.PLANNER1
UAT-0006,P100,0001,101,2025-05-03,19,494,4900000143,,UAT.STORES1
UAT-0006,P100,0001,201,2025-06-10,-14,-364,4900000144,CC-P100,UAT.PLANNER1
UAT-0006,P100,0001,201,2025-07-10,-14,-364,4900000145,CC-P100,UAT.PLANNER1
UAT-0006,P100,0001,101,2025-07-03,19,494,4900000146,,UAT.STORES1
UAT-0006,P100,0001,201,2025-08-10,-14,-364,4900000147,CC-P100,UAT.PLANNER1
UAT-0006,P100,0001,201,2025-09-10,-14,-364,4900000148,CC-P100,UAT.PLANNER1
UAT-0006,P100,0001,101,2025-09-03,19,494,4900000149,,UAT.STORES1
UAT-0006,P100,0001,201,2025-10-10,-14,-364,4900000150,CC-P100,UAT.PLANNER1
UAT-0006,P100,0001,201,2025-11-10,-14,-364,4900000151,CC-P100,UAT.PLANNER1
UAT-0006,P100,0001,101,2025-11-03,19,494,4900000152,,UAT.STORES1
UAT-0006,P100,0001,201,2025-12-10,-14,-364,4900000153,CC-P100,UAT.PLANNER1
UAT-0006,P100,0001,201,2026-01-10,-14,-364,4900000154,CC-P100,UAT.PLANNER1
UAT-0006,P100,0001,101,2026-01-03,19,494,4900000155,,UAT.STORES1
UAT-0006,P100,0001,201,2026-02-10,-14,-364,4900000156,CC-P100,UAT.PLANNER1
UAT-0006,P100,0001,201,2026-03-10,-14,-364,4900000157,CC-P100,UAT.PLANNER1
UAT-0006,P100,0001,101,2026-03-03,19,494,4900000158,,UAT.STORES1
UAT-0006,P100,0001,201,2026-04-10,-14,-364,4900000159,CC-P100,UAT.PLANNER1
UAT-0006,P100,0001,201,2026-05-10,-14,-364,4900000160,CC-P100,UAT.PLANNER1
UAT-0006,P100,0001,101,2026-05-03,19,494,4900000161,,UAT.STORES1
UAT-0006,P100,0001,201,2026-06-10,-14,-364,4900000162,CC-P100,UAT.PLANNER1
UAT-0007,P100,0002,201,2025-01-10,-18,-531,4900000163,CC-P100,UAT.PLANNER1
UAT-0007,P100,0002,101,2025-01-03,23,678.5,4900000164,,UAT.STORES1
UAT-0007,P100,0002,201,2025-02-10,-18,-531,4900000165,CC-P100,UAT.PLANNER1
UAT-0007,P100,0002,201,2025-03-10,-18,-531,4900000166,CC-P100,UAT.PLANNER1
UAT-0007,P100,0002,101,2025-03-03,23,678.5,4900000167,,UAT.STORES1
UAT-0007,P100,0002,201,2025-04-10,-18,-531,4900000168,CC-P100,UAT.PLANNER1
UAT-0007,P100,0002,201,2025-05-10,-18,-531,4900000169,CC-P100,UAT.PLANNER1
UAT-0007,P100,0002,101,2025-05-03,23,678.5,4900000170,,UAT.STORES1
UAT-0007,P100,0002,201,2025-06-10,-18,-531,4900000171,CC-P100,UAT.PLANNER1
UAT-0007,P100,0002,201,2025-07-10,-18,-531,4900000172,CC-P100,UAT.PLANNER1
UAT-0007,P100,0002,101,2025-07-03,23,678.5,4900000173,,UAT.STORES1
UAT-0007,P100,0002,201,2025-08-10,-18,-531,4900000174,CC-P100,UAT.PLANNER1
UAT-0007,P100,0002,201,2025-09-10,-18,-531,4900000175,CC-P100,UAT.PLANNER1
UAT-0007,P100,0002,101,2025-09-03,23,678.5,4900000176,,UAT.STORES1
UAT-0007,P100,0002,201,2025-10-10,-18,-531,4900000177,CC-P100,UAT.PLANNER1
UAT-0007,P100,0002,201,2025-11-10,-18,-531,4900000178,CC-P100,UAT.PLANNER1
UAT-0007,P100,0002,101,2025-11-03,23,678.5,4900000179,,UAT.STORES1
UAT-0007,P100,0002,201,2025-12-10,-18,-531,4900000180,CC-P100,UAT.PLANNER1
UAT-0007,P100,0002,201,2026-01-10,-18,-531,4900000181,CC-P100,UAT.PLANNER1
UAT-0007,P100,0002,101,2026-01-03,23,678.5,4900000182,,UAT.STORES1
UAT-0007,P100,0002,201,2026-02-10,-18,-531,4900000183,CC-P100,UAT.PLANNER1
UAT-0007,P100,0002,201,2026-03-10,-18,-531,4900000184,CC-P100,UAT.PLANNER1
UAT-0007,P100,0002,101,2026-03-03,23,678.5,4900000185,,UAT.STORES1
UAT-0007,P100,0002,201,2026-04-10,-18,-531,4900000186,CC-P100,UAT.PLANNER1
UAT-0007,P100,0002,201,2026-05-10,-18,-531,4900000187,CC-P100,UAT.PLANNER1
UAT-0007,P100,0002,101,2026-05-03,23,678.5,4900000188,,UAT.STORES1
UAT-0007,P100,0002,201,2026-06-10,-18,-531,4900000189,CC-P100,UAT.PLANNER1
UAT-0008,P100,0003,201,2025-01-10,-22,-726,4900000190,CC-P100,UAT.PLANNER1
UAT-0008,P100,0003,101,2025-01-03,27,891,4900000191,,UAT.STORES1
UAT-0008,P100,0003,201,2025-02-10,-22,-726,4900000192,CC-P100,UAT.PLANNER1
UAT-0008,P100,0003,201,2025-03-10,-22,-726,4900000193,CC-P100,UAT.PLANNER1
UAT-0008,P100,0003,101,2025-03-03,27,891,4900000194,,UAT.STORES1
UAT-0008,P100,0003,201,2025-04-10,-22,-726,4900000195,CC-P100,UAT.PLANNER1
UAT-0008,P100,0003,201,2025-05-10,-22,-726,4900000196,CC-P100,UAT.PLANNER1
UAT-0008,P100,0003,101,2025-05-03,27,891,4900000197,,UAT.STORES1
UAT-0008,P100,0003,201,2025-06-10,-22,-726,4900000198,CC-P100,UAT.PLANNER1
UAT-0008,P100,0003,201,2025-07-10,-22,-726,4900000199,CC-P100,UAT.PLANNER1
UAT-0008,P100,0003,101,2025-07-03,27,891,4900000200,,UAT.STORES1
UAT-0008,P100,0003,201,2025-08-10,-22,-726,4900000201,CC-P100,UAT.PLANNER1
UAT-0008,P100,0003,201,2025-09-10,-22,-726,4900000202,CC-P100,UAT.PLANNER1
UAT-0008,P100,0003,101,2025-09-03,27,891,4900000203,,UAT.STORES1
UAT-0008,P100,0003,201,2025-10-10,-22,-726,4900000204,CC-P100,UAT.PLANNER1
UAT-0008,P100,0003,201,2025-11-10,-22,-726,4900000205,CC-P100,UAT.PLANNER1
UAT-0008,P100,0003,101,2025-11-03,27,891,4900000206,,UAT.STORES1
UAT-0008,P100,0003,201,2025-12-10,-22,-726,4900000207,CC-P100,UAT.PLANNER1
UAT-0008,P100,0003,201,2026-01-10,-22,-726,4900000208,CC-P100,UAT.PLANNER1
UAT-0008,P100,0003,101,2026-01-03,27,891,4900000209,,UAT.STORES1
UAT-0008,P100,0003,201,2026-02-10,-22,-726,4900000210,CC-P100,UAT.PLANNER1
UAT-0008,P100,0003,201,2026-03-10,-22,-726,4900000211,CC-P100,UAT.PLANNER1
UAT-0008,P100,0003,101,2026-03-03,27,891,4900000212,,UAT.STORES1
UAT-0008,P100,0003,201,2026-04-10,-22,-726,4900000213,CC-P100,UAT.PLANNER1
UAT-0008,P100,0003,201,2026-05-10,-22,-726,4900000214,CC-P100,UAT.PLANNER1
UAT-0008,P100,0003,101,2026-05-03,27,891,4900000215,,UAT.STORES1
UAT-0008,P100,0003,201,2026-06-10,-22,-726,4900000216,CC-P100,UAT.PLANNER1
UAT-0009,P100,0001,201,2025-01-10,-26,-949,4900000217,CC-P100,UAT.PLANNER1
UAT-0009,P100,0001,101,2025-01-03,31,1131.5,4900000218,,UAT.STORES1
UAT-0009,P100,0001,201,2025-02-10,-26,-949,4900000219,CC-P100,UAT.PLANNER1
UAT-0009,P100,0001,201,2025-03-10,-26,-949,4900000220,CC-P100,UAT.PLANNER1
UAT-0009,P100,0001,101,2025-03-03,31,1131.5,4900000221,,UAT.STORES1
UAT-0009,P100,0001,201,2025-04-10,-26,-949,4900000222,CC-P100,UAT.PLANNER1
UAT-0009,P100,0001,201,2025-05-10,-26,-949,4900000223,CC-P100,UAT.PLANNER1
UAT-0009,P100,0001,101,2025-05-03,31,1131.5,4900000224,,UAT.STORES1
UAT-0009,P100,0001,201,2025-06-10,-26,-949,4900000225,CC-P100,UAT.PLANNER1
UAT-0009,P100,0001,201,2025-07-10,-26,-949,4900000226,CC-P100,UAT.PLANNER1
UAT-0009,P100,0001,101,2025-07-03,31,1131.5,4900000227,,UAT.STORES1
UAT-0009,P100,0001,201,2025-08-10,-26,-949,4900000228,CC-P100,UAT.PLANNER1
UAT-0009,P100,0001,201,2025-09-10,-26,-949,4900000229,CC-P100,UAT.PLANNER1
UAT-0009,P100,0001,101,2025-09-03,31,1131.5,4900000230,,UAT.STORES1
UAT-0009,P100,0001,201,2025-10-10,-26,-949,4900000231,CC-P100,UAT.PLANNER1
UAT-0009,P100,0001,201,2025-11-10,-26,-949,4900000232,CC-P100,UAT.PLANNER1
UAT-0009,P100,0001,101,2025-11-03,31,1131.5,4900000233,,UAT.STORES1
UAT-0009,P100,0001,201,2025-12-10,-26,-949,4900000234,CC-P100,UAT.PLANNER1
UAT-0009,P100,0001,201,2026-01-10,-26,-949,4900000235,CC-P100,UAT.PLANNER1
UAT-0009,P100,0001,101,2026-01-03,31,1131.5,4900000236,,UAT.STORES1
UAT-0009,P100,0001,201,2026-02-10,-26,-949,4900000237,CC-P100,UAT.PLANNER1
UAT-0009,P100,0001,201,2026-03-10,-26,-949,4900000238,CC-P100,UAT.PLANNER1
UAT-0009,P100,0001,101,2026-03-03,31,1131.5,4900000239,,UAT.STORES1
UAT-0009,P100,0001,201,2026-04-10,-26,-949,4900000240,CC-P100,UAT.PLANNER1
UAT-0009,P100,0001,201,2026-05-10,-26,-949,4900000241,CC-P100,UAT.PLANNER1
UAT-0009,P100,0001,101,2026-05-03,31,1131.5,4900000242,,UAT.STORES1
UAT-0009,P100,0001,201,2026-06-10,-26,-949,4900000243,CC-P100,UAT.PLANNER1
UAT-0010,P100,0002,201,2025-01-10,-10,-400,4900000244,CC-P100,UAT.PLANNER1
UAT-0010,P100,0002,101,2025-01-03,15,600,4900000245,,UAT.STORES1
UAT-0010,P100,0002,201,2025-02-10,-10,-400,4900000246,CC-P100,UAT.PLANNER1
UAT-0010,P100,0002,201,2025-03-10,-10,-400,4900000247,CC-P100,UAT.PLANNER1
UAT-0010,P100,0002,101,2025-03-03,15,600,4900000248,,UAT.STORES1
UAT-0010,P100,0002,201,2025-04-10,-10,-400,4900000249,CC-P100,UAT.PLANNER1
UAT-0010,P100,0002,201,2025-05-10,-10,-400,4900000250,CC-P100,UAT.PLANNER1
UAT-0010,P100,0002,101,2025-05-03,15,600,4900000251,,UAT.STORES1
UAT-0010,P100,0002,201,2025-06-10,-10,-400,4900000252,CC-P100,UAT.PLANNER1
UAT-0010,P100,0002,201,2025-07-10,-10,-400,4900000253,CC-P100,UAT.PLANNER1
UAT-0010,P100,0002,101,2025-07-03,15,600,4900000254,,UAT.STORES1
UAT-0010,P100,0002,201,2025-08-10,-10,-400,4900000255,CC-P100,UAT.PLANNER1
UAT-0010,P100,0002,201,2025-09-10,-10,-400,4900000256,CC-P100,UAT.PLANNER1
UAT-0010,P100,0002,101,2025-09-03,15,600,4900000257,,UAT.STORES1
UAT-0010,P100,0002,201,2025-10-10,-10,-400,4900000258,CC-P100,UAT.PLANNER1
UAT-0010,P100,0002,201,2025-11-10,-10,-400,4900000259,CC-P100,UAT.PLANNER1
UAT-0010,P100,0002,101,2025-11-03,15,600,4900000260,,UAT.STORES1
UAT-0010,P100,0002,201,2025-12-10,-10,-400,4900000261,CC-P100,UAT.PLANNER1
UAT-0010,P100,0002,201,2026-01-10,-10,-400,4900000262,CC-P100,UAT.PLANNER1
UAT-0010,P100,0002,101,2026-01-03,15,600,4900000263,,UAT.STORES1
UAT-0010,P100,0002,201,2026-02-10,-10,-400,4900000264,CC-P100,UAT.PLANNER1
UAT-0010,P100,0002,201,2026-03-10,-10,-400,4900000265,CC-P100,UAT.PLANNER1
UAT-0010,P100,0002,101,2026-03-03,15,600,4900000266,,UAT.STORES1
UAT-0010,P100,0002,201,2026-04-10,-10,-400,4900000267,CC-P100,UAT.PLANNER1
UAT-0010,P100,0002,201,2026-05-10,-10,-400,4900000268,CC-P100,UAT.PLANNER1
UAT-0010,P100,0002,101,2026-05-03,15,600,4900000269,,UAT.STORES1
UAT-0010,P100,0002,201,2026-06-10,-10,-400,4900000270,CC-P100,UAT.PLANNER1
UAT-0011,P100,0003,201,2025-01-10,-3,-130.5,4900000271,CC-P100,UAT.PLANNER1
UAT-0011,P100,0003,101,2025-01-03,8,348,4900000272,,UAT.STORES1
UAT-0011,P100,0003,201,2025-07-10,-3,-130.5,4900000273,CC-P100,UAT.PLANNER1
UAT-0011,P100,0003,101,2025-07-03,8,348,4900000274,,UAT.STORES1
UAT-0011,P100,0003,201,2026-01-10,-3,-130.5,4900000275,CC-P100,UAT.PLANNER1
UAT-0011,P100,0003,101,2026-01-03,8,348,4900000276,,UAT.STORES1
UAT-0012,P100,0001,201,2025-01-10,-3,-141,4900000277,CC-P100,UAT.PLANNER1
UAT-0012,P100,0001,101,2025-01-03,8,376,4900000278,,UAT.STORES1
UAT-0012,P100,0001,201,2025-07-10,-3,-141,4900000279,CC-P100,UAT.PLANNER1
UAT-0012,P100,0001,101,2025-07-03,8,376,4900000280,,UAT.STORES1
UAT-0012,P100,0001,201,2026-01-10,-3,-141,4900000281,CC-P100,UAT.PLANNER1
UAT-0012,P100,0001,101,2026-01-03,8,376,4900000282,,UAT.STORES1
UAT-0015,P100,0001,201,2025-01-10,-10,-575,4900000283,CC-P100,UAT.PLANNER1
UAT-0015,P100,0001,101,2025-01-03,15,862.5,4900000284,,UAT.STORES1
UAT-0015,P100,0001,201,2025-02-10,-10,-575,4900000285,CC-P100,UAT.PLANNER1
UAT-0015,P100,0001,201,2025-03-10,-10,-575,4900000286,CC-P100,UAT.PLANNER1
UAT-0015,P100,0001,101,2025-03-03,15,862.5,4900000287,,UAT.STORES1
UAT-0015,P100,0001,201,2025-04-10,-10,-575,4900000288,CC-P100,UAT.PLANNER1
UAT-0015,P100,0001,201,2025-05-10,-10,-575,4900000289,CC-P100,UAT.PLANNER1
UAT-0015,P100,0001,101,2025-05-03,15,862.5,4900000290,,UAT.STORES1
UAT-0015,P100,0001,201,2025-06-10,-10,-575,4900000291,CC-P100,UAT.PLANNER1
UAT-0015,P100,0001,201,2025-07-10,-10,-575,4900000292,CC-P100,UAT.PLANNER1
UAT-0015,P100,0001,101,2025-07-03,15,862.5,4900000293,,UAT.STORES1
